Email,Name,Business Name,Category,Location,zipCode,Business Description,Phone,Website,Donation Link,Image,In Need
,,Who's Got Soul Cafe,Restaurant,"Atlanta, GA",,,+14042890116,https://whosgotsoulcafe.com,,,
,,B&L Wings,Restaurant,"Atlanta, GA",,,+16622123257,https://bnlwings.com,,,
,,2 Sistas Cookin,Restaurant,"Atlanta, GA",,,+16789233506,https://www.2sistascookin.com,,,
,,Fin & Feathers ATL,Restaurant,"Atlanta, GA",,,+16787055757,https://finandfeathersrestaurants.com,,,
,,656 Sports Bar & Grille,Restaurant,"Atlanta, GA",,,+16787323659,http://656sports.com,,,
,,Atlanta Breakfast Club,Restaurant,"Atlanta, GA",,,+14704283825,atlantabreakfastclub.com,,,
,,Big Dave's Cheesesteaks,Restaurant,"Atlanta, GA",,,+14043430259,https://www.thebigdavescheesesteaks.com,,,
,,BQE Restaurant & Lounge,Restaurant,"Atlanta, GA",,,+14045939407,https://www.bqelounge.com,,,
,,Busy Bee Cafe,Restaurant,"Atlanta, GA",,,+14045259212,https://www.thebusybeecafe.com,,,
,,Clues and Cocktails,Restaurant,"Atlanta, GA",,,+14043903285,https://cluesandcocktails.com,,,
,,Fellaship ATL,Restaurant,"Atlanta, GA",,,+14042544970,fellashipatl.com,,,
,,Kelz Kitchen,Restaurant,"Atlanta, GA",,,+14043308004,https://www.kelzkitchen.com/location/kelz-kitchen-downtown-atlanta,,,
,,Mangos Caribbean Restaurant,Restaurant,"Atlanta, GA",,,+14046983992,http://www.mangoscaribbeanrestaurant.com,,,
,,Sweet Auburn Seafood,Restaurant,"Atlanta, GA",,,+16789745019,http://sweetauburnseafood.com/saswordpress,,,
,,Mochas Pops,Restaurant,"Atlanta, GA",,,+14046459646,https://www.mochapops.com,,,
,,"Tom, Dick & Hank",Restaurant,"Atlanta, GA",,,+14043433774,https://tomdickandhank.com,,,
,,JamRock,Restaurant,"Atlanta, GA",,,+14045943307,jamrockrestaurant.com,,,
,,The Hot Dog Factory,Restaurant,"Atlanta, GA",,,,https://www.theoriginalhotfactory.com,,,
,,The Wing Bar,Restaurant,"Atlanta, GA",,,+14702256931,thewingbaratl.com,,,
,,Hodgepodge Coffee,Restaurant,"Atlanta, GA",,,+14046228525,hodgepodgecoffee.com,,,
,,Springreens Community Cafe,Restaurant,"Atlanta, GA",,,+14704273179,springreenscommunitycafe.com,,,
,,Kupcakerie,Restaurant,"Atlanta, GA",,,+14049753751,kupcakerie.com,,,
,,Ann's Snack Bar,Restaurant,"Atlanta, GA",,,+14046879207,,,,
,,Cakes by La'Meeka,Restaurant,"Atlanta, GA",,,+16785760409,https://www.cakesbylameeka.com,,,
,,Delights By Dawn,Restaurant,"Atlanta, GA",,,+16788520627,delightsbydawn.com,,,
,,3 Parks Wine Shop,Restaurant,"Atlanta, GA",,,+16783497070,http://www.3parkswine.com,,,
,,The Harp ATL,Restaurant,"Atlanta, GA",,,+14042283356,https://www.theharpatl.com,,,
,,Pit Boss BBQ,Restaurant,"Atlanta, GA",,,+14047680036,https://pitboss-bbq.com,,,
,,Lickety Split Southern Kitchen & Bar,Restaurant,"Atlanta, GA",,,+14049904495,https://licketysplitdining.com,,,
,,B's Cracklin BBQ,Restaurant,"Atlanta, GA",,,+19123306921,https://www.facebook.com/BsCracklinBBQATL,,,
,,Fresh Smoothie Cafe,Restaurant,"Atlanta, GA",,,+17704725463,https://www.freshsmoothiecafe.com,,,
,,Capers Restaurant & Bar,Restaurant,"Atlanta, GA",,,+16785947735,capersonmain.com,,,
,,Le Petit Marche,Restaurant,"Atlanta, GA",,,+14043719888,https://www.lepetitmarche.net,,,
,,Confectionist Bakery,Restaurant,"Atlanta, GA",,,+17707652114,confectionistbakeryatl.com,,,
,,Cheesecaked,Restaurant,"Atlanta, GA",,,+14042623333,https://getcheesecaked.com,,,
,,First Batch Artisan Foods,Restaurant,"Atlanta, GA",,,+14048341163,https://www.firstbatchartisan.com,,,
,,Sevananda Natural Foods,Restaurant,"Atlanta, GA",,,+14046812831,https://sevananda.coop,,,
,,Not As Famous Cookie,Restaurant,"Atlanta, GA",,,+14045871661,https://www.notasfacmous.com,,,
,,Devine Soups N More,Restaurant,"Atlanta, GA",,,+16786376244,https://www.devinesoupsnmore.com,,,
,,Boogalou Restaurant & Lounge,Restaurant,"Atlanta, GA",,,+14044647705,https://www.boogalouatl.com,,,
,,Cirque Daquiri Bar & Grille,Restaurant,"Atlanta, GA",,,+14049962482,cirqueatlanta.com,,,
,,Grass VBQ Joint,Restaurant,"Atlanta, GA",,,+14043309920,https://grassvbqjoint.com,,,
,,Triple Jay's Pizza,Restaurant,"Atlanta, GA",,,+16787128400,https://www.triplejayspizza.com,,,
,,Ponko Chicken,Restaurant,"Atlanta, GA",,,,ponkochicken.com,,,
,,Sammies Bodega,Restaurant,"Atlanta, GA",,,+16789747988,,,,
,,12 Cocktail Bar,Restaurant,"Atlanta, GA",,,,https://www.12cocktailbar.com,,,
,,9 Mile Station,Restaurant,"Atlanta, GA",,,+17709991532,https://www.9milestation.com,,,
,,Lucky Lotus Juice Bar,Restaurant,"Atlanta, GA",,,+14049153081,https://www.loveluckylotus.com,,,
,,Root Baking Co.,Restaurant,"Atlanta, GA",,,+14706398046,https://www.rootbaking.com,,,
,,Carver's Produce,Restaurant,"Atlanta, GA",,,+17707276514,https://www.carversproduce.com,,,
,,Cakes By Pat,Restaurant,"Atlanta, GA",,,+13479480525,https://squareup.com/store/caked-by-pat,,,
,,Bombon Chocolates,Restaurant,"Atlanta, GA",,,+17707428560,https://www.facebook.com/BombonBeautifulChocolate,,,
,,A Haute Cookie,Restaurant,"Atlanta, GA",,,+14703558844,ahautecookie.com,,,
mjspiesandchais@gmail.com,,MJs Pies & Chais,Restaurant,"Atlanta, GA",,,,https://mjspiesandchais.com,,,
,,Island Spiced Bakes & Bites,Restaurant,"Atlanta, GA",,,+16788183555,https://www.facebook.com/islandspicedbb,,,
info@portrait.coffee,,Portrait Coffee,Restaurant,"Atlanta, GA",,,,https://portrait.coffee,,,
,,Butterly Biscuits,Restaurant,"Atlanta, GA",,,+17708459661,butterlybiscuits.com,,,
,,Anna Bell's Mac,Restaurant,"Atlanta, GA",,,+18774844773,annabellsmac.com,,,
,,Puncho's Late Night Fry Trap,Restaurant,"Atlanta, GA",,,+16789627848,eatpunchos.com,,,
,,Nancy's Pizza,Restaurant,"Atlanta, GA",,,,https://nancyspizza.com,,,
,,Plant Based Pizzeria,Restaurant,"Atlanta, GA",,,+14048352739,https://www.plantbasedpizzeria.net,,,
,,Chef Rob's Caribbean Cafe,Restaurant,"Atlanta, GA",,,+14042503737,https://chefrobscafe.com,,,
,,CamiCakes,Restaurant,"Atlanta, GA",,,+17706932615,https://www.camicakes.com,,,
,,Gilly Brew Bar,Restaurant,"Atlanta, GA",,,+17705571614,https://www.gillybrewbar.com,,,
,,Daddy D'z BBQ Joynt,Restaurant,"Atlanta, GA",,,+14042220206,https://daddydz.com,,,
,,Just Add Honey Tea Shop,Restaurant,"Atlanta, GA",,,+14043146261,https://justaddhoney.net,,,
,,Philly G Steak,Restaurant,"Atlanta, GA",,,+14042544101,philly-g-steaks.square.site,,,
info@cafebourbonst.com,,Cafe Bourbon St,Restaurant,"Atlanta, GA",,,,https://linktr.ee/cafebourbonst?fbclid=lwAR3fBAIBHhHxCIS02gouHJA1imyPhdqkU5cd__Tgel2DqA2ezrbBDRqHUdA,,,
,,Kemper's Cafe Caribbean Cuisine,Restaurant,"Atlanta, GA",,,+14044648927,https://www.facebook.com/Kempers-Cafe-Caribbean-Cuisine-407162119436048/?ref=page_internal,,,
,,Life Bistro ATL,Restaurant,"Atlanta, GA",,,+14044645139,https://lifebistroatl.com,,,
info@blendzcafe.com,,Blendz Cafe,Restaurant,"Atlanta, GA",,,,https://www.blendzcafe.com,,,
,,Creole Orleans Catering,Restaurant,"Atlanta, GA",,,+16784606377,https://creoleorleanscatering.com,,,
,,Cococakes by Coco,Restaurant,"Atlanta, GA",,,+17709342626,cococakesbycoco.com,,,
,,Local Green Atlanta,Restaurant,"Atlanta, GA",,,+17708838291,https://www.localfreenatlanta.com,,,
,,Mr. Everything,Restaurant,"Atlanta, GA",,,+14045219903,https://mreverythingcafe.com,,,
,,Rosie's Coffee Cafe,Restaurant,"Atlanta, GA",,,+14043317703,https://www.rosiescoffeecafe.com,,,
,,My Fair Sweets,Restaurant,"Atlanta, GA",,,+14049881042,https://myfairsweets.com,,,
,,Faux Real Burger,Restaurant,"Atlanta, GA",,,+13108749923,https://www.doordash.com/store/faux-real-burger-grill-atlanta-790700/en-US,,,
,,Healthful Essence,Restaurant,"Atlanta, GA",,,+14048060830,https://healthfulessence.com,,,
,,My Potato Factory,Restaurant,"Atlanta, GA",,,+14043431946,https://www.facebook.com/MyPotatoFactory,,,
,,Q Time,Restaurant,"Atlanta, GA",,,+14047582881,https://www.qtimerestaurant.com,,,
,,Slutty Vegan,Restaurant,"Atlanta, GA",,,+16787323525,https://sluttyveganatl.com,,,
,,Tassili's Raw Reality Cafe,Restaurant,"Atlanta, GA",,,+14043436126,https://tassilisrawreality.com,,,
,,Vegan Dream Doughnuts,Restaurant,"Atlanta, GA",,,+14043979174,https://www.vegandreamdoughnuts.com/home-.html,,,
,,Viva La Vegan,Restaurant,"Atlanta, GA",,,+14049512737,https://vivalavegan.godaddysites.com,,,
,,Wadada Healthy Market & Juice Bar,Restaurant,"Atlanta, GA",,,,https://www.facebook.com/pg/Wadada-Healthy-Market-Juice-Bar-1905016789788718/about/?ref=page_internal,,,
,,Soul Vegetarian,Restaurant,"Atlanta, GA",,,+14047525194,https://soulvegsouth.com,,,
,,Urban Grind,Restaurant,"Atlanta, GA",,,+14047240605,https://www.urbangrindatlanta.com,,,
,,Sublime Doughnuts,Restaurant,"Atlanta, GA",,,+14043156899,https://www.wublimedoughnuts.com,,,
,,Slim & Husky's Pizza Beeria,Restaurant,"Atlanta, GA",,,+14044583327,https://slimandhuskys.com,,,
,,Twisted Soul Cookhouse & Pours,Restaurant,"Atlanta, GA",,,+14043505500,https://www.twistedsoulcookhouseandpours.com/copy-of-house,,,
,,D Cafe and Catering,Restaurant,"Atlanta, GA",,,+14044412298,https://www.facebook.com/DCafeAtlanta,,,
,,Jamal's Buffalo Wings,Restaurant,"Atlanta, GA",,,+14042210088,https://www.facebook.com/pg/Jamalsbuffalowings,,,
,,Mr. Pig's Smokehouse,Restaurant,"Atlanta, GA",,,+14049689451,https://www.mrpigsmokehouse.com,,,
,,Sweet Lois Confections,Restaurant,"Atlanta, GA",,,+16784595103,https://sweetlois.com,,,
,,Kool Running,Restaurant,"Atlanta, GA",,,+17704410207,https://koolrunningsrestaurant.com,,,
,,Yamon Jamaican Cuisine,Restaurant,"Atlanta, GA",,,+14703367965,https://yamonga.com,,,
,,11 Degrees Daiquiri,Restaurant,"Austin, Tx",,,+15124284225,https://11degreesdaiquiri.com/eleven-degrees,,,
,,Aster's Ethiopian Restaurant,Restaurant,"Austin, Tx",,,+15124695966,https://www.facebook.com/AstersEthiopianRestaurant/,,,
,,Anything's Baked Potato,Restaurant,"Austin, Tx",,,+15122437702,http://www.anythingsaustin.com/,,,
,,Baby Greens,Restaurant,"Austin, Tx",,,+15127706255,https://www.eatbabygreens.com/,,,
,,Bahadi's Chicken and Lounge,Restaurant,"Austin, Tx",,,+15126665830,https://bahadischickenlounge.com/,,,
,,Big Easy Bar & Grill,Restaurant,"Austin, Tx",,,+15124069237,https://www.facebook.com/barandgrillbigeasy/,,,
,,Bird Bird Biscuit,Restaurant,"Austin, Tx",,,+15127614922,https://www.birdbirdbiscuit.com/,,,
,,Country Boyz Fixins - Manor,Restaurant,"Austin, Tx",,,+17372120011,https://countryboysfixins.com/,,,
,,Country Boyz Fixins - Main Downtown,Restaurant,"Austin, Tx",,,+15129285555,https://countryboysfixins.com/,,,
,,Crimson Creek Smokehouse,Restaurant,"Austin, Tx",,,+15127583280,https://crimsoncreekbbq.myshopify.com/,,,
,,Cumberbatch Sweet Tater Torte,Restaurant,"Austin, Tx",,,+15129645406,https://www.facebook.com/CumberbatchSweetTater/,,,
,,Da Slice,Restaurant,"Austin, Tx",,,+13133780487,https://www.facebook.com/dasliceatx/,,,
,,David Grocery & Bar-B-Q,Restaurant,"Austin, Tx",,,+15124421057,http://www.bbqtaylor.com/,,,
,,Dia's Market,Restaurant,"Austin, Tx",,,+15125205115,https://diasmarket.com/,,,
,,Dirty Glove Midwest BBQ,Restaurant,"Austin, Tx",,,+15122226982,https://www.facebook.com/Dgmbbq313/,,,
,,Emoji's Grilled Cheese Bar,Restaurant,"Austin, Tx",,,+15122564608,http://www.emojisgrilledcheese.com/,,,
,,Fowler's Smokin Soul Food,Restaurant,"Austin, Tx",,,+15123000225,https://fowlerssmokinsoulfood.business.site/,,,
,,Gossip Shack,Restaurant,"Austin, Tx",,,+15128015150,https://www.facebook.com/GossipShack/,,,
,,Habesha Ethiopian,Restaurant,"Austin, Tx",,,+15123586839,https://www.habeshaaustin.com/,,,
,,Hoover's Cooking,Restaurant,"Austin, Tx",,,+15124795006,https://www.hooverscooking.com/,,,
,,Island Fork,Restaurant,"Austin, Tx",,,+15127613225,https://www.islandfork.com/,,,
,,J. Leonardi's Barbeque 11th St.,Restaurant,"Austin, Tx",,,+15127585873,http://places.singleplatform.com/j-leonardis-barbeque-1/menu?ref=google#menu_2513095,,,
,,JP's Pancake Company,Restaurant,"Austin, Tx",,,+15122003099,https://www.jpspancakecompany.com/,,,
,,Keii Desserts,Restaurant,"Pflugerville, Tx",,,+15125740083,https://www.keiidesserts.com/,,,
,,Kreyol Korner Caribbean Cuisine,Restaurant,"Austin, Tx",,,+15125960094,http://kreyolkorner.com/,,,
,,Krack of Dawn Kafe,Restaurant,"Austin, Tx",,,+15129920376,https://www.facebook.com/krackofdawndonuts/?rf=1411443032335540,,,
,,Les Bobos Crepes,Restaurant,"Austin, Tx",,,+12127860428,https://www.instagram.com/lesboboscrepes/,,,
,,Luv Fats Ice Cream,Restaurant,"Austin, Tx",,,+15129683772,https://www.instagram.com/luvfatsicecream/?hl=en,,,
,,Mr. Catfish & More,Restaurant,"Austin, Tx",,,+15125242020,https://www.mrcatfishatx.com/,,,
,,My Granny's Kitchen,Restaurant,"Austin, Tx",,,+15122223413,http://www.mygrannyskitchen.net/,,,
,,Niella Catering,Restaurant,"Austin, Tx",,,+18325736228,https://niellacatering.com/,,,
,,Ninja Pig,Restaurant,"Austin, Tx",,,+15129800072,http://www.ninjapigatx.com/,,,
,,One People's Kitchen,Restaurant,"Austin, Tx",,,+15127337069,https://onepeopleskitchen.com/,,,
,,R&B's Steak and Fries,Restaurant,"Austin, Tx",,,+17372174522,https://www.rnbssteakandfries.com/,,,
,,Roland's Soul Food,Restaurant,"Austin, Tx",,,+15124998833,https://www.facebook.com/rolandssoulfood/,,,
,,Sam's BBQ,Restaurant,"Austin, Tx",,,+15124780378,https://www.facebook.com/ATXBBQ/,,,
,,Sassy's Vegetarian Soul Food,Restaurant,"Austin, Tx",,,+12147036617,https://sassys-vegetarian-soul-food.business.site/,,,
,,Taste of Ethiopia,Restaurant,"Austin, Tx",,,+15128143142,http://tasteofethiopiaaustin.com/,,,
,,Taste of Ethiopia,Restaurant,"Austin, Tx",,,+15122514053,http://tasteofethiopiaaustin.com/,,,
,,Sweet Shack Candy Shop,Restaurant,"Austin, Tx",,,+15125518092,https://sweet-shack-candy.square.site/,,,
,,Suga's Cakery,Restaurant,"Austin, Tx",,,+15122629983,https://sugascakery.com/,,,
,,The Cook's Nook,Restaurant,"Austin, Tx",,,+15127106665,https://cooksnook.net/,,,
,,The Cupcake Guys,Restaurant,"Austin, Tx",,,+15129539833,https://thecupcakeguys.com/,,,
,,The Rolling Rooster,Restaurant,"Austin, Tx",,,+15125474444,https://therollingrooster.com/,,,
,,Tony's Jamaican Food,Restaurant,"Austin, Tx",,,+15123584949,https://www.tonysjamaicanfood.com/,,,
,,Tony's Jamaican Food,Restaurant,"Austin, Tx",,,+15129455090,https://www.tonysjamaicanfood.com/,,,
,,Wasota Vegan Paradise,Restaurant,"Austin, Tx",,,+15125653864,https://www.facebook.com/wasotaveganparadise/,,,
,,Wild Magnolia Cafe,Restaurant,"Austin, Tx",,,+17372309804,https://wildmagnolias.business.site/?fbclid=IwAR1IaCTJwTlntxzUF7SNDDlcSdnT7ONZrvIegNjhvHTGXz-cPM9Y49L0_as,,,
,,Word of Mouth Caterings,Restaurant,"Austin, Tx",,,+15124729500,https://wordofmouthcatering.com,,,
,,Y'all's Cafe,Restaurant,"Austin, Tx",,,+15122438014,http://www.eatatyalls.cafe/,,,
,,Chakula Eats,Restaurant,"Alameda, CA",,,+19178895990,,,,
,,Dayo Plates,Restaurant,"Alameda, CA",,,,,,,
,,Johnathan's Sandwich House,Restaurant,"Alameda, CA",,,+15105228040,https://johnathanssandwichalameda.com/,,,
,,Juanita and Maude,Restaurant,"Albany, CA",,,+15105262233,www.juanitaandmaude.com/,,,
,,Freddy B's BBQ,Restaurant,"Antioch, CA",,,+19257323113,,,,
,,Mise en Place Catering,Restaurant,"Antioch, CA",,,+19256358076,www.bebepreston.com,,,
,,Southern Cafe,Restaurant,"Antioch, CA",,,+19257541172,http://southerncafe2000.com/,,,
,,Southern Express Soul Food,Restaurant,"Antioch, CA",,,+19253224932,https://southern-express.business.site/,,,
,,Way to Life Foods,Restaurant,"Antioch, CA",,,+15105174244,www.waytolifefoods.com/,,,
,,A Girl Named Pinky,Restaurant,"Berkeley, CA",,,+15106316174,www.agirlnamedpinky.com/,,,
,,Alchemy Coffee Collective,Restaurant,"Berkeley, CA",,,+15103944758,www.alchemycollectivecafe.com/,,,
,,Anthony's Cookies,Restaurant,"Berkeley, CA",,,+15108332469,http://anthonyscookies.com,,,
,,Cali Alley,Restaurant,"Berkeley, CA",,,+15106444473,www.calialley.com,,,
,,Crumble & Whisk Patisserie,Restaurant,"Berkeley, CA",,,+14152373318,https://crumbleandwhisk.com/,,,
,,Cupcakin' Bake Shop,Restaurant,"Berkeley, CA",,,+15105294488,https://cupcakinbakeshop.com/,,,
,,Ethiopia Restaurant,Restaurant,"Berkeley, CA",,,+15108431992,http://orderethiopiarestaurant.com/,,,
,,Everett & Jones Barbeque,Restaurant,"Berkeley, CA",,,+15105488261,https://eandjbbq.com/,,,
,,FineFine,Restaurant,"Berkeley, CA",,,+15108830167,www.finfine.com,,,
,,Healing Kitchen,Restaurant,"Berkeley, CA",,,,https://healing-kitchen-sf.square.site/,,,
,,Kaffa Ethiopian,Restaurant,"Berkeley, CA",,,+15106775822,,,,
,,KC's BBQ,Restaurant,"Berkeley, CA",,,+15105266325,www.kcsbbq.com,,,
,,Layers By Xanthe,Restaurant,"Berkeley, CA",,,,www.layersbyxanthe.com/,,,
,,Lemat,Restaurant,"Berkeley, CA",,,+15104302717,www.lemateats.com/,,,
,,Nabolom Bakery,Restaurant,"Berkeley, CA",,,+15108452253,www.nabolombakery.com/,,,
,,PieTisserie,Restaurant,"Berkeley, CA",,,,www.pietisserie.com,,,
,,Pinky and Red's,Restaurant,"Berkeley, CA",,,,www.pinkyandreds.com/,,,
,,Rasa Caffe,Restaurant,"Berkeley, CA",,,,www.rasacaffe.com/,,,
,,Cafe Capuchino,Restaurant,"Burlingame, CA",,,+16503422669,,,,
,,Buster's Southern BBQ,Restaurant,"Calistoga, CA",,,+17079425605,www.busterssouthernbbq.com/welcome.html,,,
,,Back a Yard Caribbean Grill,Restaurant,"Campbell, CA",,,+14088662666,backayard.net,,,
,,Big Country Kitchen,Restaurant,"Concord, CA",,,+19258223009,www.bigcountrykitchenllc.com,,,
,,Concord Tap House,Restaurant,"Concord, CA",,,+19256858585,https://concordtaphouse.com/,,,
,,Pure Juice & Smoothie Lounge,Restaurant,"Concord, CA",,,+19253751376,www.purejuiceandsmoothie.com/,,,
,,Splash Tea,Restaurant,"Concord, CA",,,+19253499308,https://splashtea.square.site/s/order,,,
,,The Lettuce Inn,Restaurant,"Concord, CA",,,+19253389636,http://thelettuceinn.com/,,,
,,Sugartown Cafe,Restaurant,"Crockett, CA",,,+15107223220,www.sugartowncafe.com/,,,
,,Keith's Chicken and Waffles,Restaurant,"Daly City, CA",,,+14153477208,www.keithschickennwaffles.com,,,
,,Red's House,Restaurant,"Daly City, CA",,,,www.eatreds.com,,,
,,Ginger Snap Shots,Restaurant,"East Palo Alto, CA",,,+16503079301,https://www.stephaniesgingersnapshots.com/,,,
,,The Cocktail Chick,Restaurant,"East Palo Alto, CA",,,+16503079301,https://www.facebook.com/TheCocktailChick/,,,
,,Jonathan's Fish & Chips,Restaurant,"East Palo Alto, CA",,,+16503231092,www.facebook.com/jonathansfishnchips/,,,
,,Crumble & Whisk Patisserie,Restaurant,"Emeryville, CA",,,+14152373318,https://crumbleandwhisk.com/,,,
,,Hip Hop Juice Box,Restaurant,"Emeryville, CA",,,+15107884252,,,,
,,Minnie Bell's Soul Movement,Restaurant,"Emeryville, CA",,,+15108797199,www.minniebellssoul.com/,,,
,,Rob Ben's,Restaurant,"Emeryville, CA",,,+15102509636,www.instagram.com/robbens_restaurant/,,,
,,Touch of Soul,Restaurant,"Emeryville, CA",,,+15105951227,https://touch-of-soul.business.site/,,,
,,Chez Soul Southern Cuisine,Restaurant,"Fairfield, CA",,,+17074273338,www.chezsoulsoutherncuisine.com/,,,
,,Bliss Pops,Restaurant,"Foster City, CA",,,+16505494323,www.iloveblisspops.com,,,
,,Carmen & Family BBQ,Restaurant,"Fremont, CA",,,+15106575464,http://carmenandfamilybbq.com/,,,
,,Haleluya Ethiopian Gourmet,Restaurant,"Fremont, CA",,,+15102708310,www.facebook.com/pages/category/Ethiopian-Restaurant/Haleluya-Ethiopian-Gourmet-114027840290429/,,,
,,Carmen & Family BBQ,Restaurant,"Hayward, CA",,,+15108871979,http://carmenandfamilybbq.com/,,,
,,Family House of Fish & Poultry,Restaurant,"Hayward, CA",,,+15108864112,www.facebook.com/Family-House-of-Fish-and-Poultry-147661838584980/,,,
,,Golden Safari,Restaurant,"Hayward, CA",,,+15104609625,https://goldensafari.net/,,,
,,Hippies Brew,Restaurant,"Hayward, CA",,,+15104618629,www.hippiesbrew.com/,,,
,,Just Potato Salad,Restaurant,"Hayward, CA",,,+15107539667,,,,
,,PLāYT,Restaurant,"Hayward, CA",,,+15108881092,http://playtonb.com/,,,
,,Reuschelle's Cheesecakes,Restaurant,"Hayward, CA",,,+15102192997,www.reuschelles.com/,,,
,,Bodkin Wines,Restaurant,"Healdsburg, CA",,,,www.bodkinwines.com/,,,
,,Wine Country Feasts,Restaurant,"Healdsburg, CA",,,+17075086853,www.winecountryfeasts.com/,,,
,,Hunnie Bees Cakes,Restaurant,"Hercules, CA",,,,,,,
,,Réve Bistro,Restaurant,"Lafayette, CA",,,+19253850793,http://revebistro.com/,,,
,,The Fusion Food Club (truck),Restaurant,"Livermore, CA",,,+15102050484,,,,
,,Reggae Pot,Restaurant,"Los Gatos, CA",,,+14088274597,https://reggaepot.com/,,,
,,Back a Yard Caribbean Grill,Restaurant,"Menlo Park, CA",,,+16503234244,backayard.net,,,
,,Fenn Coffee,Restaurant,"Menlo Park, CA",,,,https://fenncoffee.com/,,,
,,The Cookout,Restaurant,"Mountain View, CA",,,+16503009945,www.facebook.com/thecookoutft,,,
,,Brown Estate,Restaurant,"Napa, CA",,,+17079632435,www.brownestate.com/,,,
,,7th West,Restaurant,"Oakland, CA",,,+14152906501,www.7thwest.com,,,
,,Abesha Ethiopian Cuisine,Restaurant,"Oakland, CA",,,+15106538383,YELP,,,
,,Addis Ethiopian,Restaurant,"Oakland, CA",,,+15106533456,YELP,,,
,,Alamar Kitchen,Restaurant,"Oakland, CA",,,+15109077555,www.alamaroakland.com,,,
,,Alem's Coffee,Restaurant,"Oakland, CA",,,+15106556003,YELP,,,
