email,name,businessName,category,storeFront,street,city,state,zipCode,phone,businessDescription,website,donationLink,image,inNeed,approved,source
,,Good Karma Cafe - Wilma Theater,,,,,,,+12673187229,,http://www.thegoodkarmacafe.com/,,,,,
,,Green Soul,,,,,,,+12156609600,,www.greensoulliving.com,,,,,
,,Haverford Grill & Soul,,,,,,,+12154767685,,https://haverfordgrillandsoul.com/,,,,,
,,Hibiscus Cafe,,,,,,,+12153073749,,http://places.singleplatform.com/hibiscus-cafe-3/menu,,,,,
,,Honey Hill Catering,,,,,,,+12678471805,,https://www.honeyhillcatering.com/,,,,,
,,Honeysuckle Pop-Up @ South Philly Barbacoa,,,,,,,,,https://www.instagram.com/honeysuckle_popup/,,,,,
,,iMunch Café,,,,,,,+12152368624,,https://www.instagram.com/imunch_cafe/,,,,,
,,Irie Jamaican Restaurant,,,,,,,+12675700001,,,,,,,
,,Jamaican D's,,,,,,,+12159277415,,https://www.facebook.com/pages/category/Jamaican-Restaurant/Jamaican-Ds-197179890322876/,,,,,
,,Jamaican Jerk Hut,,,,,,,+12155458644,,https://www.instagram.com/jamaicanjerkhutphilly/,,,,,
,,Jamil's Cafe,,,,,,,+12152212838,,https://www.facebook.com/pages/category/Food-Truck/Jamils-cafe-on-wheels-1465805023698793/,,,,,
,,JD'S Soul Food Kitchen LLC,,,,,,,+12673333161,,https://www.facebook.com/pages/category/Soul-Food-Restaurant/JDs-Soul-Food-Kitchen-101009197983249/,,,,,
,,Jordan Johnson's Gourmet Seafood,,,,,,,+12153332277,,https://www.facebook.com/JordanJohnsonsGourmetSeafood/,,,,,
,,Just To Serve You,,,,,,,+12675310331,,http://www.just2serveyou.com/,,,,,
,,K & J Caribbean American Diner,,,,,,,+12158490242,,https://www.facebook.com/pages/K-J-Caribbean-American-Diner/117545358263094,,,,,
,,"Kaffa Crossing Ethiopian Restaurant, Bar & Cafe",,,,,,,+12153860504,,,,,,,
,,KeeBooms Kitchen,,,,,,,+12674163076,,https://www.keeboomskitchen.com/,,,,,
,,Kesha's Kitchen,,,,,,,+12152881700,,https://www.instagram.com/keshaskitchen_/?hl=en,,,,,
,,Keven Parker Soul Food Café,,,,,,,+12156250650,,http://www.kevenparker.net/wp/menu-reading-terminal/,,,,,
,,Kilimandjaro,,,,,,,+12153871970,,https://www.facebook.com/kilimandjarorestaurant/,,,,,
,,Kings & Queens Liberian Cuisine,,,,,,,+14844663359,,https://www.facebook.com/kingsandqueenslc/,,,,,
,,Kingston 11 Jamaican Restaurant,,,,,,,+12155960216,,https://www.instagram.com/kingston11_philly/,,,,,
,,Le Mandingue,,,,,,,+12157260543,,http://www.lemandinguephilly.com/,,,,,
,,Lily of the Valley Cupcakery and Cafe,,,,,,,+12674374175,,https://www.lilyofthevalleycupcakery.com/,,,,,
,,Linda's Vegetarian Village,,,,,,,+12154382500,,https://www.facebook.com/lindasvegetarianvillage/,,,,,
,,Little Delicious,,,,,,,+12157294911,,https://www.facebook.com/pages/Little-Delicious/104995476211128,,,,,
,,Little Man's Juice Bar and Grill,,,,,,,+12153384520,,littlemansjuicebarandgrill.com,,,,,
,,"Lokal Artisan Foods, LLC",,,,,,,+12673128339,,https://www.lokalartisanfoods.com/,,,,,
,,Lou&Choo’s,,,,,,,+12157787868,,,,,,,
,,Lucky Goat Coffee House,,,,,,,+12159784628,,https://luckygoatcoffeehouse.com/,,,,,
,,Mac'n! By Mari,,,,,,,,,https://mac-nbymari.com/,,,,,
,,Malikah’s Kitchen and Catering,,,,,,,+12158200265,,https://www.facebook.com/Malikahs-Kitchen-and-Catering-652983501425081/,,,,,
,,Meekstreats,,,,,,,+12672257184,,https://meektreats.myshopify.com/,,,,,
,,Milk + Sugar,,,,,,,,,https://www.instagram.com/milksugarcakes/,,,,,
,,Miracles Jamaican Restaurant & Bakery,,,,,,,+12153423513,,,,,,,
,,Morgan's Food Market And Caribbean Restaurant,,,,,,,+12154773340,,,,,,,
,,Ms Tootsie’s Soul Food Cafe,,,,,,,+12154622000,,https://www.facebook.com/mstootsierbl1314/,,,,,
,,Mt. Airy Deli,,,,,,,+12152429274,,http://mtairydeli.com/,,,,,
,,Nafisa's Kitchen,,,,,,,+12678923376,,https://nafisaskitchen.business.site,,,,,
,,Naturally Sweet Desserts,,,,,,,+12674052322,,https://naturallysweetdesserts.com/,,,,,
,,New Barber’s Hall Restaurant & Lounge,,,,,,,+12157630369,,http://www.barbershallphilly.com/,,,,,
,,Night Owl Vegan,,,,,,,+12674052322,,https://nightowlvegan.com/,,,,,
,,Nourish Philly,,,,,,,+12677619242,,https://www.facebook.com/pages/category/Smoothie---Juice-Bar/Nourish-Philly-107422634121481/,,,,,
,,Obsidian Eats,,,,,,,+18455980811,,https://www.facebook.com/ObsidianEats/,,,,,
,,Ol Boys Soul Food Restaurant,,,,,,,+12154713331,,,,,,,
,,Orchard Smoothie and Cafe,,,,,,,+12676066579,,https://www.instagram.com/orchardsmoothieandcafe/,,,,,
,,Paprika Halal Restaurant,,,,,,,+12154554663,,https://www.instagram.com/paprikaphilly/?hl=en,,,,,
,,Philly Cheesecake Lady,,,,,,,+12675753952,,https://www.phillycheesecakelady.com/,,,,,
,,Philly Platinum Grill,,,,,,,+12152472312,,https://www.facebook.com/phillygrille/,,,,,
,,Philly Vegan Nightmarket,,,,,,,,,https://www.instagram.com/phillyvegannightmarket/,,,,,
,,Pizza Brain,,,,,,,+12152912965,,https://www.pizzabrain.org,,,,,
,,Pizza Dads,,,,,,,+12152912965,,https://www.pizzabrain.org,,,,,
,,Pizza & Wing King,,,,,,,+12157633237,,https://www.instagram.com/_.golan._/?hl=en,,,,,
,,Pretty Girls Cook,,,,,,,+12152782260,,https://pretty-girls-cook.business.site,,,,,
,,Pretzel Workz,,,,,,,+12677467173,,https://www.instagram.com/pretzelworkz/,,,,,
,,Quality Taste Jamaican Restaurant,,,,,,,+12676346821,,https://www.instagram.com/qualitytastejamaicanrestaurant/,,,,,
,,Queen of Sheba,,,,,,,+12153822099,,https://www.queenofshebaphiladelphia.com/,,,,,
,,Reef Restaurant and Lounge,,,,,,,+12156290102,,http://phillyreef.com/,,,,,
,,Reggae Reggae Vibes,,,,,,,+12157319045,,https://www.reggaereggaevibes.com/,,,,,
,,Relish,,,,,,,+12152760170,,http://relishphiladelphia.com/,,,,,
,,Rhythm and Brunch / Chef Reeky's Cafe,,,,,,,+12159219915,,https://www.chefreekyscafe.com/order#/,,,,,
,,Ron's Caribbean Cafe,,,,,,,+12159243966,,,,,,,
,,Rose Petals Cafe,,,,,,,+12156904706,,https://www.instagram.com/rosepetalscafe/,,,,,
,,Saudia Shuler’s Country Cookin’,,,,,,,+12676253664,,https://www.instagram.com/countrycookin1/?hl=en,,,,,
Soulplatephilly@gmail.com,,Sheba’s Soul Plate,,,,,,,,,https://www.instagram.com/shebas_soulplate/,,,,,
,,Sherria Michelle & Co.,,,,,,,,,https://www.sherriamichelle.com/,,,,,
,,Shugar Shack Soul Food,,,,,,,+16102552155,,http://www.shugarshacksoulfood.com,,,,,
,,Siddiq's Real Fruit Water Ice,,,,,,,+12154106513,,https://www.siddiqswaterice.com/,,,,,
,,Side of the Road Jerk Chicken,,,,,,,+12672977286,,https://sideoftheroadjerkchicken.com/,,,,,
,,Soul Fed Philly,,,,,,,+12155443269,,https://www.instagram.com/soulfedphilly/,,,,,
,,Soul Food Artists,,,,,,,+12677311754,,http://soulfoodartist.com/,,,,,
,,South Kitchen & Jazz Bar,,,,,,,+12156000220,,https://www.toasttab.com/southjazzkitchen.com/v3,,,,,
,,Southside Zabihah Halal Eatery,,,,,,,+12672923936,,https://www.facebook.com/halaleatery/,,,,,
,,Star Fusion Express,,,,,,,+12153073111,,https://starfusionrestaurant.com,,,,,
,,Star Fusion Restaurant,,,,,,,+12158791108,,https://starfusionrestaurant.com,,,,,
,,Stripp'd Juice,,,,,,,+12675507877,,http://www.strippdjuice.com/,,,,,
,,Sunday's Best,,,,,,,+12154762660,,https://www.facebook.com/pages/Sundays-Best/115997535087843,,,,,
,,Supreme Oasis Bakery and Deli,,,,,,,+14458883408,,https://sobadphilly.com/,,,,,
,,Sweet Cravings Cakery,,,,,,,+14846904545,,https://www.facebook.com/pg/sweetcravingscakery215/about/?ref=page_internal,,,,,
,,Sweet Nectar Dessert Kitchen,,,,,,,+12673187143,,http://sweetnectardk.com,,,,,
,,Sweet Nina's,,,,,,,+12158058757,,https://www.instagram.com/sweet.ninas/,,,,,
,,Sweet Treat Hut,,,,,,,+16107083675,,https://www.sweettreathut.com/,,,,,
,,Tashia's Cocktails and Cuisine,,,,,,,+12152282201,,https://www.facebook.com/pages/category/Sports-Bar/Tashias-Cocktails-Cuisine-164042337290732/,,,,,
,,Tasties - North Philly,,,,,,,+12159917844,,https://www.tastiesoulfood.co/,,,,,
,,Tasties - West Philly,,,,,,,+12154770281,,https://www.tastiesoulfood.co/,,,,,
,,Tay’s Soul Food,,,,,,,+12154377514,,,,,,,
,,Terron Kitchen,,,,,,,+12157167111,,https://terronkitchen.com,,,,,
,,The Better Box,,,,,,,+12156137381,,https://thebetterboxllc.com/,,,,,
,,The Crab Shack,,,,,,,+12153241515,,http://theoriginalcrabshack.com,,,,,
,,The Crab Shack II,,,,,,,+12154551955,,http://theoriginalcrabshack.com,,,,,
,,The Crimson Cafe,,,,,,,+12154722233,,https://www.facebook.com/CrimsonFamily/,,,,,
,,The Era Bar,,,,,,,+12157697008,,http://www.theerabar.com/,,,,,
,,The New Lou & Choo's,,,,,,,+12157787868,,https://www.facebook.com/The-New-Lou-Choos-937832029666633/,,,,,
,,The Nile Cafe,,,,,,,+12158436453,,https://www.facebook.com/NileCafePhilly/,,,,,
,,The Original Hot Dog Factory,,,,,,,+12153092799,,https://www.theoriginalhotdogfactory.com,,,,,
,,The Petite Belle,,,,,,,,,https://www.instagram.com/petitebellegourmet/,,,,,
,,The Spicy Belly,,,,,,,+12154822095,,http://thespicybelly.com,,,,,
,,The Sweet Life Bakeshop,,,,,,,+12157177770,,https://www.instagram.com/sweetlifephilly/?hl=en,,,,,
,,The Tattooed Pig / Red Onion Gourmet Home Meals,,,,,,,+12672235528,,https://www.thetattooedpig.com,,,,,
,,Thomasena's Restaurant and Catering Hall,,,,,,,+12157222434,,https://www.thomasenas.com/,,,,,
,,Top Taste,,,,,,,+12157471460,,,,,,,
,,Tropical Sensation,,,,,,,+12155824353,,https://www.facebook.com/tropicalsensationeats/,,,,,
,,Turp's Kitchen,,,,,,,+12154202686,,https://www.turpkitchen.com/,,,,,
,,Tyemeka’s Soulfood,,,,,,,+12673686025,,https://www.instagram.com/tyemeka_soulfood_/,,,,,
,,Ummi dee’s burger bistro,,,,,,,+12152216166,,https://www.ummidees.com/,,,,,
,,Uncle Bobbie's Coffee & Books,,,,,,,+12154037058,,https://www.unclebobbies.com,,,,,
,,UnSoul Food,,,,,,,,,https://unsoulfood.com,,,,,
,,Veelicious Eatery,,,,,,,+12158443663,,https://veeliciouseatery.org/,,,,,
,,Veganish,,,,,,,+12154771153,,https://www.veganishphilly.com/,,,,,
,,Victoria's Kitchen and Catering,,,,,,,+12159271066,,http://vikkiskitchen.com,,,,,
,,Warmdaddy's,,,,,,,+12154622000,,http://warmdaddys.com,,,,,
,,Wazobia,,,,,,,+12157693800,,https://www.facebook.com/pages/Wazobia/119034198260062,,,,,
,,Zaneyah's Delights,,,,,,,+14842783828,,https://www.zaneyahsdelights.com/,,,,,
,,Zazou Teas,,,,,,,+12153467989,,https://zazou-online-shop.ecwid.com,,,,,
