email,name,businessName,category,city,state,zipCode,businessDescription,phone,phone,website,dontationLink,image,inNeed
,,Mela Ethiopian,Restaurant,Atlanta,GA,,,+114043432130,+14043432130,https://melaethiopiankitchen.com,,,
,,Ms. Icey's Kitchen & Bar,Restaurant,Atlanta,GA,,,+114049637871,+14049637871,https://www.msiceys.com,,,
,,Who's Got Soul Cafe,Restaurant,Atlanta,GA,,,+114042890116,+14042890116,https://whosgotsoulcafe.com,,,
,,B&L Wings,Restaurant,Atlanta,GA,,,+116622123257,+16622123257,https://bnlwings.com,,,
,,2 Sistas Cookin,Restaurant,Atlanta,GA,,,+116789233506,+16789233506,https://www.2sistascookin.com,,,
,,Fin & Feathers ATL,Restaurant,Atlanta,GA,,,+116787055757,+16787055757,https://finandfeathersrestaurants.com,,,
,,656 Sports Bar & Grille,Restaurant,Atlanta,GA,,,+116787323659,+16787323659,http://656sports.com,,,
,,Atlanta Breakfast Club,Restaurant,Atlanta,GA,,,+114704283825,+14704283825,atlantabreakfastclub.com,,,
,,Big Dave's Cheesesteaks,Restaurant,Atlanta,GA,,,+114043430259,+14043430259,https://www.thebigdavescheesesteaks.com,,,
,,BQE Restaurant & Lounge,Restaurant,Atlanta,GA,,,+114045939407,+14045939407,https://www.bqelounge.com,,,
,,Busy Bee Cafe,Restaurant,Atlanta,GA,,,+114045259212,+14045259212,https://www.thebusybeecafe.com,,,
,,Clues and Cocktails,Restaurant,Atlanta,GA,,,+114043903285,+14043903285,https://cluesandcocktails.com,,,
,,Fellaship ATL,Restaurant,Atlanta,GA,,,+114042544970,+14042544970,fellashipatl.com,,,
,,Kelz Kitchen,Restaurant,Atlanta,GA,,,+114043308004,+14043308004,https://www.kelzkitchen.com/location/kelz-kitchen-downtown-atlanta,,,
,,Mangos Caribbean Restaurant,Restaurant,Atlanta,GA,,,+114046983992,+14046983992,http://www.mangoscaribbeanrestaurant.com,,,
,,Sweet Auburn Seafood,Restaurant,Atlanta,GA,,,+116789745019,+16789745019,http://sweetauburnseafood.com/saswordpress,,,
,,Mochas Pops,Restaurant,Atlanta,GA,,,+114046459646,+14046459646,https://www.mochapops.com,,,
,,"Tom, Dick & Hank",Restaurant,Atlanta,GA,,,+114043433774,+14043433774,https://tomdickandhank.com,,,
,,JamRock,Restaurant,Atlanta,GA,,,+114045943307,+14045943307,jamrockrestaurant.com,,,
,,The Hot Dog Factory,Restaurant,Atlanta,GA,,,,,https://www.theoriginalhotfactory.com,,,
,,The Wing Bar,Restaurant,Atlanta,GA,,,+114702256931,+14702256931,thewingbaratl.com,,,
,,Hodgepodge Coffee,Restaurant,Atlanta,GA,,,+114046228525,+14046228525,hodgepodgecoffee.com,,,
,,Springreens Community Cafe,Restaurant,Atlanta,GA,,,+114704273179,+14704273179,springreenscommunitycafe.com,,,
,,Kupcakerie,Restaurant,Atlanta,GA,,,+114049753751,+14049753751,kupcakerie.com,,,
,,Ann's Snack Bar,Restaurant,Atlanta,GA,,,+114046879207,+14046879207,,,,
,,Cakes by La'Meeka,Restaurant,Atlanta,GA,,,+116785760409,+16785760409,https://www.cakesbylameeka.com,,,
,,Delights By Dawn,Restaurant,Atlanta,GA,,,+116788520627,+16788520627,delightsbydawn.com,,,
,,3 Parks Wine Shop,Restaurant,Atlanta,GA,,,+116783497070,+16783497070,http://www.3parkswine.com,,,
,,The Harp ATL,Restaurant,Atlanta,GA,,,+114042283356,+14042283356,https://www.theharpatl.com,,,
,,Pit Boss BBQ,Restaurant,Atlanta,GA,,,+114047680036,+14047680036,https://pitboss-bbq.com,,,
,,Lickety Split Southern Kitchen & Bar,Restaurant,Atlanta,GA,,,+114049904495,+14049904495,https://licketysplitdining.com,,,
,,B's Cracklin BBQ,Restaurant,Atlanta,GA,,,+119123306921,+19123306921,https://www.facebook.com/BsCracklinBBQATL,,,
,,Fresh Smoothie Cafe,Restaurant,Atlanta,GA,,,+117704725463,+17704725463,https://www.freshsmoothiecafe.com,,,
,,Capers Restaurant & Bar,Restaurant,Atlanta,GA,,,+116785947735,+16785947735,capersonmain.com,,,
,,Le Petit Marche,Restaurant,Atlanta,GA,,,+114043719888,+14043719888,https://www.lepetitmarche.net,,,
,,Confectionist Bakery,Restaurant,Atlanta,GA,,,+117707652114,+17707652114,confectionistbakeryatl.com,,,
,,Cheesecaked,Restaurant,Atlanta,GA,,,+114042623333,+14042623333,https://getcheesecaked.com,,,
,,First Batch Artisan Foods,Restaurant,Atlanta,GA,,,+114048341163,+14048341163,https://www.firstbatchartisan.com,,,
,,Sevananda Natural Foods,Restaurant,Atlanta,GA,,,+114046812831,+14046812831,https://sevananda.coop,,,
,,Not As Famous Cookie,Restaurant,Atlanta,GA,,,+114045871661,+14045871661,https://www.notasfacmous.com,,,
,,Devine Soups N More,Restaurant,Atlanta,GA,,,+116786376244,+16786376244,https://www.devinesoupsnmore.com,,,
,,Boogalou Restaurant & Lounge,Restaurant,Atlanta,GA,,,+114044647705,+14044647705,https://www.boogalouatl.com,,,
,,Cirque Daquiri Bar & Grille,Restaurant,Atlanta,GA,,,+114049962482,+14049962482,cirqueatlanta.com,,,
,,Grass VBQ Joint,Restaurant,Atlanta,GA,,,+114043309920,+14043309920,https://grassvbqjoint.com,,,
,,Triple Jay's Pizza,Restaurant,Atlanta,GA,,,+116787128400,+16787128400,https://www.triplejayspizza.com,,,
,,Ponko Chicken,Restaurant,Atlanta,GA,,,,,ponkochicken.com,,,
,,Sammies Bodega,Restaurant,Atlanta,GA,,,+116789747988,+16789747988,,,,
,,12 Cocktail Bar,Restaurant,Atlanta,GA,,,,,https://www.12cocktailbar.com,,,
,,9 Mile Station,Restaurant,Atlanta,GA,,,+117709991532,+17709991532,https://www.9milestation.com,,,
,,Lucky Lotus Juice Bar,Restaurant,Atlanta,GA,,,+114049153081,+14049153081,https://www.loveluckylotus.com,,,
,,Root Baking Co.,Restaurant,Atlanta,GA,,,+114706398046,+14706398046,https://www.rootbaking.com,,,
,,Carver's Produce,Restaurant,Atlanta,GA,,,+117707276514,+17707276514,https://www.carversproduce.com,,,
,,Cakes By Pat,Restaurant,Atlanta,GA,,,+113479480525,+13479480525,https://squareup.com/store/caked-by-pat,,,
,,Bombon Chocolates,Restaurant,Atlanta,GA,,,+117707428560,+17707428560,https://www.facebook.com/BombonBeautifulChocolate,,,
,,A Haute Cookie,Restaurant,Atlanta,GA,,,+114703558844,+14703558844,ahautecookie.com,,,
mjspiesandchais@gmail.com,,MJs Pies & Chais,Restaurant,Atlanta,GA,,,,,https://mjspiesandchais.com,,,
,,Island Spiced Bakes & Bites,Restaurant,Atlanta,GA,,,+116788183555,+16788183555,https://www.facebook.com/islandspicedbb,,,
info@portrait.coffee,,Portrait Coffee,Restaurant,Atlanta,GA,,,,,https://portrait.coffee,,,
,,Butterly Biscuits,Restaurant,Atlanta,GA,,,+117708459661,+17708459661,butterlybiscuits.com,,,
,,Anna Bell's Mac,Restaurant,Atlanta,GA,,,+118774844773,+18774844773,annabellsmac.com,,,
,,Puncho's Late Night Fry Trap,Restaurant,Atlanta,GA,,,+116789627848,+16789627848,eatpunchos.com,,,
,,Nancy's Pizza,Restaurant,Atlanta,GA,,,,,https://nancyspizza.com,,,
,,Plant Based Pizzeria,Restaurant,Atlanta,GA,,,+114048352739,+14048352739,https://www.plantbasedpizzeria.net,,,
,,Chef Rob's Caribbean Cafe,Restaurant,Atlanta,GA,,,+114042503737,+14042503737,https://chefrobscafe.com,,,
,,CamiCakes,Restaurant,Atlanta,GA,,,+117706932615,+17706932615,https://www.camicakes.com,,,
,,Gilly Brew Bar,Restaurant,Atlanta,GA,,,+117705571614,+17705571614,https://www.gillybrewbar.com,,,
,,Daddy D'z BBQ Joynt,Restaurant,Atlanta,GA,,,+114042220206,+14042220206,https://daddydz.com,,,
,,Just Add Honey Tea Shop,Restaurant,Atlanta,GA,,,+114043146261,+14043146261,https://justaddhoney.net,,,
,,Philly G Steak,Restaurant,Atlanta,GA,,,+114042544101,+14042544101,philly-g-steaks.square.site,,,
info@cafebourbonst.com,,Cafe Bourbon St,Restaurant,Atlanta,GA,,,,,https://linktr.ee/cafebourbonst?fbclid=lwAR3fBAIBHhHxCIS02gouHJA1imyPhdqkU5cd__Tgel2DqA2ezrbBDRqHUdA,,,
,,Kemper's Cafe Caribbean Cuisine,Restaurant,Atlanta,GA,,,+114044648927,+14044648927,https://www.facebook.com/Kempers-Cafe-Caribbean-Cuisine-407162119436048/?ref=page_internal,,,
,,Life Bistro ATL,Restaurant,Atlanta,GA,,,+114044645139,+14044645139,https://lifebistroatl.com,,,
info@blendzcafe.com,,Blendz Cafe,Restaurant,Atlanta,GA,,,,,https://www.blendzcafe.com,,,
,,Creole Orleans Catering,Restaurant,Atlanta,GA,,,+116784606377,+16784606377,https://creoleorleanscatering.com,,,
,,Cococakes by Coco,Restaurant,Atlanta,GA,,,+117709342626,+17709342626,cococakesbycoco.com,,,
,,Local Green Atlanta,Restaurant,Atlanta,GA,,,+117708838291,+17708838291,https://www.localfreenatlanta.com,,,
,,Mr. Everything,Restaurant,Atlanta,GA,,,+114045219903,+14045219903,https://mreverythingcafe.com,,,
,,Rosie's Coffee Cafe,Restaurant,Atlanta,GA,,,+114043317703,+14043317703,https://www.rosiescoffeecafe.com,,,
,,My Fair Sweets,Restaurant,Atlanta,GA,,,+114049881042,+14049881042,https://myfairsweets.com,,,
,,Faux Real Burger,Restaurant,Atlanta,GA,,,+113108749923,+13108749923,https://www.doordash.com/store/faux-real-burger-grill-atlanta-790700/en-US,,,
,,Healthful Essence,Restaurant,Atlanta,GA,,,+114048060830,+14048060830,https://healthfulessence.com,,,
,,My Potato Factory,Restaurant,Atlanta,GA,,,+114043431946,+14043431946,https://www.facebook.com/MyPotatoFactory,,,
,,Q Time,Restaurant,Atlanta,GA,,,+114047582881,+14047582881,https://www.qtimerestaurant.com,,,
,,Slutty Vegan,Restaurant,Atlanta,GA,,,+116787323525,+16787323525,https://sluttyveganatl.com,,,
,,Tassili's Raw Reality Cafe,Restaurant,Atlanta,GA,,,+114043436126,+14043436126,https://tassilisrawreality.com,,,
,,Vegan Dream Doughnuts,Restaurant,Atlanta,GA,,,+114043979174,+14043979174,https://www.vegandreamdoughnuts.com/home-.html,,,
,,Viva La Vegan,Restaurant,Atlanta,GA,,,+114049512737,+14049512737,https://vivalavegan.godaddysites.com,,,
,,Wadada Healthy Market & Juice Bar,Restaurant,Atlanta,GA,,,,,https://www.facebook.com/pg/Wadada-Healthy-Market-Juice-Bar-1905016789788718/about/?ref=page_internal,,,
,,Soul Vegetarian,Restaurant,Atlanta,GA,,,+114047525194,+14047525194,https://soulvegsouth.com,,,
,,Urban Grind,Restaurant,Atlanta,GA,,,+114047240605,+14047240605,https://www.urbangrindatlanta.com,,,
,,Sublime Doughnuts,Restaurant,Atlanta,GA,,,+114043156899,+14043156899,https://www.wublimedoughnuts.com,,,
,,Slim & Husky's Pizza Beeria,Restaurant,Atlanta,GA,,,+114044583327,+14044583327,https://slimandhuskys.com,,,
,,Twisted Soul Cookhouse & Pours,Restaurant,Atlanta,GA,,,+114043505500,+14043505500,https://www.twistedsoulcookhouseandpours.com/copy-of-house,,,
,,D Cafe and Catering,Restaurant,Atlanta,GA,,,+114044412298,+14044412298,https://www.facebook.com/DCafeAtlanta,,,
,,Jamal's Buffalo Wings,Restaurant,Atlanta,GA,,,+114042210088,+14042210088,https://www.facebook.com/pg/Jamalsbuffalowings,,,
,,Mr. Pig's Smokehouse,Restaurant,Atlanta,GA,,,+114049689451,+14049689451,https://www.mrpigsmokehouse.com,,,
,,Sweet Lois Confections,Restaurant,Atlanta,GA,,,+116784595103,+16784595103,https://sweetlois.com,,,
,,Kool Running,Restaurant,Atlanta,GA,,,+117704410207,+17704410207,https://koolrunningsrestaurant.com,,,
,,Yamon Jamaican Cuisine,Restaurant,Atlanta,GA,,,+114703367965,+14703367965,https://yamonga.com,,,
,,11 Degrees Daiquiri,Restaurant,Austin,TX,,,+115124284225,+15124284225,https://11degreesdaiquiri.com/eleven-degrees,,,
,,Aster's Ethiopian Restaurant,Restaurant,Austin,TX,,,+115124695966,+15124695966,https://www.facebook.com/AstersEthiopianRestaurant/,,,
,,Anything's Baked Potato,Restaurant,Austin,TX,,,+115122437702,+15122437702,http://www.anythingsaustin.com/,,,
,,Baby Greens,Restaurant,Austin,TX,,,+115127706255,+15127706255,https://www.eatbabygreens.com/,,,
,,Bahadi's Chicken and Lounge,Restaurant,Austin,TX,,,+115126665830,+15126665830,https://bahadischickenlounge.com/,,,
,,Big Easy Bar & Grill,Restaurant,Austin,TX,,,+115124069237,+15124069237,https://www.facebook.com/barandgrillbigeasy/,,,
,,Bird Bird Biscuit,Restaurant,Austin,TX,,,+115127614922,+15127614922,https://www.birdbirdbiscuit.com/,,,
,,Country Boyz Fixins - Manor,Restaurant,Austin,TX,,,+117372120011,+17372120011,https://countryboysfixins.com/,,,
,,Country Boyz Fixins - Main Downtown,Restaurant,Austin,TX,,,+115129285555,+15129285555,https://countryboysfixins.com/,,,
,,Crimson Creek Smokehouse,Restaurant,Austin,TX,,,+115127583280,+15127583280,https://crimsoncreekbbq.myshopify.com/,,,
,,Cumberbatch Sweet Tater Torte,Restaurant,Austin,TX,,,+115129645406,+15129645406,https://www.facebook.com/CumberbatchSweetTater/,,,
,,Da Slice,Restaurant,Austin,TX,,,+113133780487,+13133780487,https://www.facebook.com/dasliceatx/,,,
,,David Grocery & Bar-B-Q,Restaurant,Austin,TX,,,+115124421057,+15124421057,http://www.bbqtaylor.com/,,,
,,Dia's Market,Restaurant,Austin,TX,,,+115125205115,+15125205115,https://diasmarket.com/,,,
,,Dirty Glove Midwest BBQ,Restaurant,Austin,TX,,,+115122226982,+15122226982,https://www.facebook.com/Dgmbbq313/,,,
,,Emoji's Grilled Cheese Bar,Restaurant,Austin,TX,,,+115122564608,+15122564608,http://www.emojisgrilledcheese.com/,,,
,,Fowler's Smokin Soul Food,Restaurant,Austin,TX,,,+115123000225,+15123000225,https://fowlerssmokinsoulfood.business.site/,,,
,,Gossip Shack,Restaurant,Austin,TX,,,+115128015150,+15128015150,https://www.facebook.com/GossipShack/,,,
,,Habesha Ethiopian,Restaurant,Austin,TX,,,+115123586839,+15123586839,https://www.habeshaaustin.com/,,,
,,Hoover's Cooking,Restaurant,Austin,TX,,,+115124795006,+15124795006,https://www.hooverscooking.com/,,,
,,Island Fork,Restaurant,Austin,TX,,,+115127613225,+15127613225,https://www.islandfork.com/,,,
,,J. Leonardi's Barbeque 11th St.,Restaurant,Austin,TX,,,+115127585873,+15127585873,http://places.singleplatform.com/j-leonardis-barbeque-1/menu?ref=google#menu_2513095,,,
,,JP's Pancake Company,Restaurant,Austin,TX,,,+115122003099,+15122003099,https://www.jpspancakecompany.com/,,,
,,Keii Desserts,Restaurant,Pflugerville,TX,,,+115125740083,+15125740083,https://www.keiidesserts.com/,,,
,,Kreyol Korner Caribbean Cuisine,Restaurant,Austin,TX,,,+115125960094,+15125960094,http://kreyolkorner.com/,,,
,,Krack of Dawn Kafe,Restaurant,Austin,TX,,,+115129920376,+15129920376,https://www.facebook.com/krackofdawndonuts/?rf=1411443032335540,,,
,,Les Bobos Crepes,Restaurant,Austin,TX,,,+112127860428,+12127860428,https://www.instagram.com/lesboboscrepes/,,,
,,Luv Fats Ice Cream,Restaurant,Austin,TX,,,+115129683772,+15129683772,https://www.instagram.com/luvfatsicecream/?hl=en,,,
,,Mr. Catfish & More,Restaurant,Austin,TX,,,+115125242020,+15125242020,https://www.mrcatfishatx.com/,,,
,,My Granny's Kitchen,Restaurant,Austin,TX,,,+115122223413,+15122223413,http://www.mygrannyskitchen.net/,,,
,,Niella Catering,Restaurant,Austin,TX,,,+118325736228,+18325736228,https://niellacatering.com/,,,
,,Ninja Pig,Restaurant,Austin,TX,,,+115129800072,+15129800072,http://www.ninjapigatx.com/,,,
,,One People's Kitchen,Restaurant,Austin,TX,,,+115127337069,+15127337069,https://onepeopleskitchen.com/,,,
,,R&B's Steak and Fries,Restaurant,Austin,TX,,,+117372174522,+17372174522,https://www.rnbssteakandfries.com/,,,
,,Roland's Soul Food,Restaurant,Austin,TX,,,+115124998833,+15124998833,https://www.facebook.com/rolandssoulfood/,,,
,,Sam's BBQ,Restaurant,Austin,TX,,,+115124780378,+15124780378,https://www.facebook.com/ATXBBQ/,,,
,,Sassy's Vegetarian Soul Food,Restaurant,Austin,TX,,,+112147036617,+12147036617,https://sassys-vegetarian-soul-food.business.site/,,,
,,Taste of Ethiopia,Restaurant,Austin,TX,,,+115128143142,+15128143142,http://tasteofethiopiaaustin.com/,,,
,,Taste of Ethiopia,Restaurant,Austin,TX,,,+115122514053,+15122514053,http://tasteofethiopiaaustin.com/,,,
,,Sweet Shack Candy Shop,Restaurant,Austin,TX,,,+115125518092,+15125518092,https://sweet-shack-candy.square.site/,,,
,,Suga's Cakery,Restaurant,Austin,TX,,,+115122629983,+15122629983,https://sugascakery.com/,,,
,,The Cook's Nook,Restaurant,Austin,TX,,,+115127106665,+15127106665,https://cooksnook.net/,,,
,,The Cupcake Guys,Restaurant,Austin,TX,,,+115129539833,+15129539833,https://thecupcakeguys.com/,,,
,,The Rolling Rooster,Restaurant,Austin,TX,,,+115125474444,+15125474444,https://therollingrooster.com/,,,
,,Tony's Jamaican Food,Restaurant,Austin,TX,,,+115123584949,+15123584949,https://www.tonysjamaicanfood.com/,,,
,,Tony's Jamaican Food,Restaurant,Austin,TX,,,+115129455090,+15129455090,https://www.tonysjamaicanfood.com/,,,
,,Wasota Vegan Paradise,Restaurant,Austin,TX,,,+115125653864,+15125653864,https://www.facebook.com/wasotaveganparadise/,,,
,,Wild Magnolia Cafe,Restaurant,Austin,TX,,,+117372309804,+17372309804,https://wildmagnolias.business.site/?fbclid=IwAR1IaCTJwTlntxzUF7SNDDlcSdnT7ONZrvIegNjhvHTGXz-cPM9Y49L0_as,,,
,,Word of Mouth Caterings,Restaurant,Austin,TX,,,+115124729500,+15124729500,https://wordofmouthcatering.com,,,
,,Y'all's Cafe,Restaurant,Austin,TX,,,+115122438014,+15122438014,http://www.eatatyalls.cafe/,,,
,,Chakula Eats,Restaurant,Alameda,CA,,,+119178895990,+19178895990,,,,
,,Dayo Plates,Restaurant,Alameda,CA,,,,,,,,
,,Johnathan's Sandwich House,Restaurant,Alameda,CA,,,+115105228040,+15105228040,https://johnathanssandwichalameda.com/,,,
,,Juanita and Maude,Restaurant,Albany,CA,,,+115105262233,+15105262233,www.juanitaandmaude.com/,,,
,,Freddy B's BBQ,Restaurant,Alameda,CA,,,+119257323113,+19257323113,,,,
,,Mise en Place Catering,Restaurant,Alameda,CA,,,+119256358076,+19256358076,www.bebepreston.com,,,
,,Southern Cafe,Restaurant,Alameda,CA,,,+119257541172,+19257541172,http://southerncafe2000.com/,,,
,,Southern Express Soul Food,Restaurant,Alameda,CA,,,+119253224932,+19253224932,https://southern-express.business.site/,,,
,,Way to Life Foods,Restaurant,Alameda,CA,,,+115105174244,+15105174244,www.waytolifefoods.com/,,,
,,A Girl Named Pinky,Restaurant,Berkeley,CA,,,+115106316174,+15106316174,www.agirlnamedpinky.com/,,,
,,Alchemy Coffee Collective,Restaurant,Berkeley,CA,,,+115103944758,+15103944758,www.alchemycollectivecafe.com/,,,
,,Anthony's Cookies,Restaurant,Berkeley,CA,,,+115108332469,+15108332469,http://anthonyscookies.com,,,
,,Cali Alley,Restaurant,Berkeley,CA,,,+115106444473,+15106444473,www.calialley.com,,,
,,Crumble & Whisk Patisserie,Restaurant,Berkeley,CA,,,+114152373318,+14152373318,https://crumbleandwhisk.com/,,,
,,Cupcakin' Bake Shop,Restaurant,Berkeley,CA,,,+115105294488,+15105294488,https://cupcakinbakeshop.com/,,,
,,Ethiopia Restaurant,Restaurant,Berkeley,CA,,,+115108431992,+15108431992,http://orderethiopiarestaurant.com/,,,
,,Everett & Jones Barbeque,Restaurant,Berkeley,CA,,,+115105488261,+15105488261,https://eandjbbq.com/,,,
,,FineFine,Restaurant,Berkeley,CA,,,+115108830167,+15108830167,www.finfine.com,,,
,,Healing Kitchen,Restaurant,Berkeley,CA,,,,,https://healing-kitchen-sf.square.site/,,,
,,Kaffa Ethiopian,Restaurant,Berkeley,CA,,,+115106775822,+15106775822,,,,
,,KC's BBQ,Restaurant,Berkeley,CA,,,+115105266325,+15105266325,www.kcsbbq.com,,,
,,Layers By Xanthe,Restaurant,Berkeley,CA,,,,,www.layersbyxanthe.com/,,,
,,Lemat,Restaurant,Berkeley,CA,,,+115104302717,+15104302717,www.lemateats.com/,,,
,,Nabolom Bakery,Restaurant,Berkeley,CA,,,+115108452253,+15108452253,www.nabolombakery.com/,,,
,,PieTisserie,Restaurant,Berkeley,CA,,,,,www.pietisserie.com,,,
,,Pinky and Red's,Restaurant,Berkeley,CA,,,,,www.pinkyandreds.com/,,,
,,Rasa Caffe,Restaurant,Berkeley,CA,,,,,www.rasacaffe.com/,,,
,,Cafe Capuchino,Restaurant,Burlingame,CA,,,+116503422669,+16503422669,,,,
,,Buster's Southern BBQ,Restaurant,Calistoga,CA,,,+117079425605,+17079425605,www.busterssouthernbbq.com/welcome.html,,,
,,Back a Yard Caribbean Grill,Restaurant,Campbell,CA,,,+114088662666,+14088662666,backayard.net,,,
,,Big Country Kitchen,Restaurant,Concord,CA,,,+119258223009,+19258223009,www.bigcountrykitchenllc.com,,,
,,Concord Tap House,Restaurant,Concord,CA,,,+119256858585,+19256858585,https://concordtaphouse.com/,,,
,,Pure Juice & Smoothie Lounge,Restaurant,Concord,CA,,,+119253751376,+19253751376,www.purejuiceandsmoothie.com/,,,
,,Splash Tea,Restaurant,Concord,CA,,,+119253499308,+19253499308,https://splashtea.square.site/s/order,,,
,,The Lettuce Inn,Restaurant,Concord,CA,,,+119253389636,+19253389636,http://thelettuceinn.com/,,,
,,Sugartown Cafe,Restaurant,Crockett,CA,,,+115107223220,+15107223220,www.sugartowncafe.com/,,,
,,Keith's Chicken and Waffles,Restaurant,Daly City,CA,,,+114153477208,+14153477208,www.keithschickennwaffles.com,,,
,,Red's House,Restaurant,Daly City,CA,,,,,www.eatreds.com,,,
,,Ginger Snap Shots,Restaurant,East Palo Alto,CA,,,+116503079301,+16503079301,https://www.stephaniesgingersnapshots.com/,,,
,,The Cocktail Chick,Restaurant,East Palo Alto,CA,,,+116503079301,+16503079301,https://www.facebook.com/TheCocktailChick/,,,
,,Jonathan's Fish & Chips,Restaurant,East Palo Alto,CA,,,+116503231092,+16503231092,www.facebook.com/jonathansfishnchips/,,,
,,Crumble & Whisk Patisserie,Restaurant,Emeryville,CA,,,+114152373318,+14152373318,https://crumbleandwhisk.com/,,,
,,Hip Hop Juice Box,Restaurant,Emeryville,CA,,,+115107884252,+15107884252,,,,
,,Minnie Bell's Soul Movement,Restaurant,Emeryville,CA,,,+115108797199,+15108797199,www.minniebellssoul.com/,,,
,,Rob Ben's,Restaurant,Emeryville,CA,,,+115102509636,+15102509636,www.instagram.com/robbens_restaurant/,,,
,,Touch of Soul,Restaurant,Emeryville,CA,,,+115105951227,+15105951227,https://touch-of-soul.business.site/,,,
,,Chez Soul Southern Cuisine,Restaurant,Fairfield,CA,,,+117074273338,+17074273338,www.chezsoulsoutherncuisine.com/,,,
,,Bliss Pops,Restaurant,Foster City,CA,,,+116505494323,+16505494323,www.iloveblisspops.com,,,
,,Carmen & Family BBQ,Restaurant,Fremont,CA,,,+115106575464,+15106575464,http://carmenandfamilybbq.com/,,,
,,Haleluya Ethiopian Gourmet,Restaurant,Fremont,CA,,,+115102708310,+15102708310,www.facebook.com/pages/category/Ethiopian-Restaurant/Haleluya-Ethiopian-Gourmet-114027840290429/,,,
,,Carmen & Family BBQ,Restaurant,Hayward,CA,,,+115108871979,+15108871979,http://carmenandfamilybbq.com/,,,
